uid,昵称,性别,点赞,个人签名,等级,评论内容
1672242487,MOTL魔笛,男,0,热爱数码，原神萌新玩家，全民牢丸家，使命入坑一年(其实只玩了6个月),4,大家晚上好[墨镜]
382517438,联赛直播木木木,保密,1,,5,单号113678428165439488     9月6号凌晨两点多查看抽卡记录后 突然消失了四个脆弱树脂。前面活动月卡送的，反馈客服居然说数据0点56分用了三个浓缩树脂领取秘籍奖励，数据正常没有问题？希望你们客服专业点 脆弱树脂 和浓缩树脂都分不清，对你们的游戏都不了解。多培训培训[热][热][热][热]
277006677,走路小能手,保密,1,,4,一连三金算个啥啊运气
351657448,全速前进ヨーソーロ,男,0,eloim essaim eloim essaim请聆听我的祈求,5,安卓手柄适配什么时候出
316264422,绷坏星穷蛈盗,保密,1,满级添柴，懒癌晚期，忑肿殡亡,5,意义明确的台词（
24463753,有马加奈赢麻麻,保密,0,为美好的世界献上祝福,6,菲米尼手感比优拉好十倍，机制也不错，可惜是个4星，还是男孩
473846256,不发兵器的马忠,保密,5,当你无法从言语驳倒我而从其他方面寻找借口来攻击我的时候，你就已经输了,5,各位旅行者下午好[脸红]
520728865,单推狂魔包小七,男,2,为天地立心，为生民立命，为往圣继绝学，为万世开太平,5,混蛋米忽悠，能不能速度快点，出美露莘玩偶周边啊，我用钱砸你啊，搞快点搞快点
316335105,Tovid,男,1,这个人很懒，什么也没写,5,能不能做好平衡，次次80抽才出角色，别人10连三金，什么概念，别人抽10次等于我240抽的努力，还拿什么玩，真正懂事的都已经不玩了[笑]
399930265,我是Apex糕手糕糕手,保密,2,没有未来的未来，不是我想要的未来！,5,各位下午好[星星眼]
229484138,无悔中国人,保密,0,让共产主义的旗帜插遍全世界！,5,这下优菈彻底成时代的眼泪了，机制被相同定位的四星薄纱，除了还有五星的高数值，真就啥也不剩。(强调一下，低命优菈)
2735964,半夜落星,男,0,"天下熙熙，皆为利往。
庙堂盈盈，皆为名来。",6,20发2个很好，石头又可以等下版本了
315244821,白_橙,保密,1,你好，我是弱智,6,1命钟离，六十多抽一个零命，到底谁是五星啊？算是看明白了，攒材料原石就给我仓检，玩物理多就卡米卡命座，敢抽散就卡珐露珊命座
406248089,战场原_黑儀,男,0,"爱情就是，哪怕彼此都是又丑又胖，还天天操心对方被别人拐走了。
",5,启动
398212196,奈奈米请自律,女,2,,5,xp党，玩了两年今天才知道碎冰反应[微笑]
328891838,鲸落710,保密,0,,6,[原神_躺平]
32841977,Chrevenie,女,0,流水易转 山石不移,5,有米有人能告诉我 仆人的设定应该不会是一整个圣母大好人吧[tv_睡着]
42486426,我超大胆的,保密,0,,5,出跳过任务直接拿奖励，须弥的任务实在提不起兴趣
10697280,待默入良夜之时,保密,0,爱我所爱,6,旁白是凯亚吗
1045592827,麻美の学妹,保密,1,岩石尚可有心.我即是如此,3,"枫丹要来到，这可如何好？午餐肉不小，不如申鹤烧。
爷们接连到，惊到下巴掉。等水神长草，不如现在跑！"
37873172,风将卷走思绪,女,0,希望风来之时也能将我带走。,6,为什么这么多非法词。。。改个签名什么都改不了
647257186,YL_memory,女,1,,5,62抽一个菲米尼都没有，不敢抽了但是真的好想要问
454752384,只要放假的屑,保密,1,,3,谢谢你啊
748313,于蔹蔓,女,2,二段跳入门学徒。,6,为什么不脱外套，我要潜水服:face_blowing_a_kiss:为什么不脱外套，我要潜水服:face_blowing_a_kiss:为什么不脱外套，我要潜水服:face_blowing_a_kiss:为什么不脱外套，我要潜水服:face_blowing_a_kiss:为什么不脱外套，我要潜水服:face_blowing_a_kiss:
47944965,冰凌翼X,男,1,,5,命令你？好吧……吻我[脱单doge]
59441041,狐河狸,男,4,"领主：啊啊啊鹰角我和你没完，我模组呢？
yj：我不到啊
领主：啊啊啊啊鹰角你等着我↑，你等着↑",6,65抽没出新四星，公子钟离都有了，建议把当期新四星上架星辉商店
26626783,搏阿博,男,1,看客一枚，望早日成为up（｡ò ∀ ó｡）,6,80抽0命，大保底都被公子吃了，告辞[墨镜]
2027303,阿克夏Vincent,保密,2,"强推Hello Charlotte游戏。在补细胞神曲和OMORI。
創作。想发光。想干各种事。
ヒカリになりたい。",6,所以有无大佬能告诉下能用钟剑么[tv_doge]
299709964,Hali-鹿,女,4,每次考试结束时，合上笔盖那一刻，都有战士收到入鞘的骄傲。,5,很喜欢菲米尼，很可爱，而且给他抽满命了。。但是为什么小保底又是七七啊？我的老爷子呜呜[请吃红小豆吧！_哭唧唧]
1066501668,i红烧苦瓜胡,保密,2,"A true friend is one soul in two bodies.
挚友如同异体同心。",5,抽了70抽你是一个都不给我啊[辣眼睛]
626843274,bili_76040505596,保密,1,,4,我看第一眼还以为雨裁有用了再看一眼冰系[doge]
1311604781,斯是扒意甜点师,保密,1,欧美现在追韩流追的厉害，新生代捧的也都是站队LGBT群体的，后面估计也快了  鱼肉味槟榔?????，钓捏妈！你才小丑，别在这介绍自己！滚,5,[热词表情_世萌双冠]
441434464,骚名字是真的难想,男,2,I just want to be happy(•̩̩̩̩＿•̩̩̩̩),5,0命可以玩玩吗
359180345,天体之声-,保密,3,,5,[脱单doge]
508462527,iomi_止水,保密,1,"你真6
",4,抽到了！两抽！
24619950,沙奈朵朵儿,保密,4,沙奈朵❤️沙奈朵❤️❤️沙奈朵❤️❤️❤️沙奈朵❤️❤️❤️❤️沙奈朵❤️❤️❤️❤️❤️沙奈朵❤️❤️❤️❤️❤️❤️沙奈朵❤️❤️❤️❤,6,早上号[脱单doge]
276160181,樱岛麻衣官宣老公,保密,4,,5,吃普攻的老角色命座什么时候改成普攻等级？吃普攻的老角色命座什么时候改成普攻等级？吃普攻的老角色命座什么时候改成普攻等级？吃普攻的老角色命座什么时候改成普攻等级？吃普攻的老角色命座什么时候改成普攻等级？
328891838,鲸落710,保密,0,,6,[原神_躺平]
3493130307373585,崔具宙集体记忆名录,保密,16,敬请聆听这美妙的旋律,3,666
177913892,Smarlevergent,保密,0,,6,不知道为什么，想到了蓝赛尔·兰尼斯特
32483529,Zhanyunzz,保密,0,,4,现在看拾枝杂谈满脑子都是景元[笑哭]
1007304804,笨小涵,男,1,笨小涵小号,5,帝君都出了，结果一个菲米尼都没有[辣眼睛]
395993624,柒夜绫华,女,0,我在等你主动，你在等我有空,5,遥遥领先
1178201631,哈哈你中了计,保密,0,,4,[星星眼]
36550682,什么是非法字符啊666,保密,0,,5,0：35
1379460812,子墨huo,保密,2,,2,我抽钟离歪了莫娜抽了 满命菲米尼 [大哭]
3537108803258528,那路拖兰那罗,保密,0,,2,「原神」绑定召回码CA7968172N
263580350,AAA龙口粉丝,保密,1,每天中午12左右开播，我们一起看动漫，关注龙口粉丝，我们天天见,4,优菈:原始人，启动
290907550,火鹤舞,保密,0,,6,我倒是觉得这个头盔挺好看的（）
480605106,留个核弹,男,0,喜欢看鬼畜和游戏解说视频,5,45抽一个没有[疑惑]
328891838,鲸落710,保密,0,,6,[原神_躺平]
38980110,紫极风,保密,0,常常因为自身含盐量过高而感到和你们格格不入,5,60抽才出一个
456338286,长风破浪的书生,男,2,笔记区up，更新考研笔记、美食制作、美食测评和购物指南、知识类笔记、游戏笔记、职业职场和副业，我在B站写笔记。,5,"《原神》拾枝杂谈-［菲米尼：机巧的余温」
00:02 《原神》拾枝杂谈-［菲米尼：
对菲米尼来说，机械运转的声响可以代表很多种东西。
它们可以是独自研究机..."
314882691,打代码打到头秃,保密,0,冲浪型B友,5,谁能告诉我手机下原神要多大内存[妙啊]
455058600,N700Supreme,男,1,分别的话从嘴里说出来的话 就要分别了 只要不说出分别就不会分别 那就是世界的真理,6,我中医浦江高二五班李东庭实名上网，实名开导
9872520,咩咩妖紫,女,1,对蠢人和坏批攻击性非常强，看不过去你忍忍(=^▽^=),6,好可爱！！！三十抽捞了一只，入队语音好涩啊啊啊啊啊啊啊啊啊啊啊
168565948,我的龙要死了,保密,0,,5,整整100抽才抽到一只菲米尼[微笑][微笑]什么概率
387628463,永恒的雷电将军,男,1,"大一在读，不定时更新
（格言：假如这世间竟无一炬火，那我就是唯一的光）",5,这次的帝君试用里不但有刻晴，而且刻晴用的还是绿剑[吃瓜]
549598390,夏半的阿信,男,0,学术技能分享,4,大保底好想捞一下公子，可是之后小水濑和芙芙咋办呢[tv_大哭][tv_流鼻血]
1606267360,饮道的未到,保密,0,,2,什么时候心海抗打断能有用点
12576919,无的名字的,保密,0,好玩的人哟，来找我吧。,6,带我走吧，天亮就出发。
2149240,漠瞎菌,男,0,20年游龄杂食UP｜mmo游戏测评｜个人自媒 可免中介 合作私信,6,没听懂……
43303822,この迷茫青年,保密,0,bilibili(゜-゜)つロ 干杯~,6,唉，抽不到啊
73651510,装填中的KV-2,保密,0,,5,心海歪了迪希雅，现在垫了50抽，后面还有那维莱特，我是真不敢抽啊[撇嘴]
4835951,zoroarkcool,男,0,,6,简单来说是个大剑主c？小优菈？
257542006,tt静女其姝,女,1,人世间的网课并不相通，我现在只觉得它们吵闹。,5,"虽然公子歪了，但是———
一时不知道该不该骂出口[脱单doge][脱单doge][脱单doge]"
11110804,伊医一,男,0,年年岁岁花相似，岁岁年年人不同,6,想问问你们有出现这种情况吗？加载很慢，然后进游戏特别卡，还各种掉帧。手机重启游戏重新下载都没用
57764871,泰米斯_,女,5,,5,别为了四星抽五星池子！！！！！[大哭][大哭][大哭]我的大保底啊啊啊没了啊啊啊啊啊啊啊啊
35642771,汐见十和,保密,12,说不出口的话，我就用行动来证明了,6,我发现“拾枝杂谈”系列的播放量好像越来越少了。
